school_year,school_level_id,veracross_course_id,class_id,description,veracross_teacher_fk,begin_date,end_date,grading_period_group_id,grading_method_id,grade_conversion_scale_id,term_credit_hours,room_id,homeroom_class_internal_id,student_group,virtual_meeting_url,class_notes
2024,4,356,1879-S1,Biology - SL - s1,101233,,,2,1,,,169,,,,
2024,4,444,3445-S1,Biology Online - 9 - s1,101390,,,2,1,,,166,,,,
2024,4,415,3381-S4,CAS / Social & Environmental Experience - 11 - s4,101496,,,2,1,,,170,,,,
2024,4,357,1880-S1,Chemistry - HL - s1,101427,,,2,1,,,165,,,,
2024,4,277,3152-S1,Computer Science - SL - s1,101929,,,2,1,,,12,,,,
2024,4,218,3318-S1,French - 9 Emergent - s1,101930,,,2,1,,,11,,,,
2024,4,377,3293-S1,French Ab Initio - SL - s1,101930,,,2,1,,,11,,,,
2024,4,264,363-S1,Health - 9 - s1,101463,,,2,1,,,10,,,,
2024,4,264,363-S2,Health - 9 - s2,101463,,,2,1,,,10,,,,
2024,4,226,3326-S1,Hindi - 9 Capable - s1,101445,,,2,1,,,155,,,,
2024,4,227,3327-S1,Hindi - 9 Emergent - s1,101445,,,2,1,,,155,,,,
2024,4,389,1912-S1,Hindi - PHL - s1,101445,,,2,1,,,155,,,,
2024,4,390,1913-S1,Hindi - PSL - s1,101445,,,2,1,,,155,,,,
2024,4,239,3369-S1,Korean - 9 Capable - s1,101357,,,2,1,,,102,,,,
2024,4,399,2777-S1,Korean B - SL - s1,101357,,,2,1,,,102,,,,
2024,4,112,3435-S1,Korean Error Language and Literature - 9 - s1,101357,,,2,1,,,102,,,,
2024,4,113,3436-S1,Korean Language and Literature - 10 - s1,101357,,,2,1,,,102,,,,
2024,4,414,3434-S1,English B - SL - s1,101287,,,2,1,,,15,,,,
2024,4,286,3341-S1,Performing Arts Drama - 11-12 - s1,101354,,,2,1,,,180,,,,
2024,4,364,1891-S1,Physics - SL - s1,101477,,,2,1,,,168,,,,
2024,4,130,3360-S1,English B - 9 - s1,101287,,,2,1,,,15,,,,
2024,4,129,3359-S1,English B - 10 - s1,101287,,,2,1,,,15,,,,
2024,4,219,3319-S1,French - 9 Capable - s1,101930,,,2,1,,,11,,,,
2024,4,219,3319-S2,French - 9 Capable - s2,101930,,,2,1,,,11,,,,
2024,4,351,2805-S1,Environmental systems & societies PSL - s1,101233,,,2,1,,,169,,,,
2024,4,373,3338-S1,Environmental systems & societies PHL - s1,101233,,,2,1,,,169,,,,
2024,4,360,1884-S1,Chemistry - SL - s1,101427,,,2,1,,,165,,,,
2024,4,386,1897-S1,French - SL - s1,101343,,,2,1,,,154,,,,
2024,4,392,1915-S1,Spanish Ab Initio - PSL - s1,101480,,,2,1,,,153,,,,
2024,4,392,1915-S2,Spanish Ab Initio - PSL - s2,101480,,,2,1,,,153,,,,
2024,4,401,2597-S1,Spanish - SL - s1,101480,,,2,1,,,153,,,,
2024,4,393,1916-S1,Spanish Ab Initio - SL - s1,101480,,,2,1,,,153,,,,
2024,4,397,2768-S1,Spanish - PSL - s1,101480,,,2,1,,,153,,,,
2024,4,392,1915-S3,Spanish Ab Initio - PSL - s3,101480,,,2,1,,,153,,,,
2024,4,224,3324-S1,German - 9 Capable - s1,101481,,,2,1,,,16,,,,
